CallSite.makeSite;java.awt.EventQueue.<init>;182;MethodHandle(Lookup,String,MethodType,String,Object[])CallSite;MethodHandle(int)String;info{AWT-EventQueue-}
CallSite.makeSite;java.awt.GraphicsEnvironment.getHeadlessProperty;145;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()PrivilegedAction;info{[()Object, MethodHandle()Void, ()Void]}
CallSite.makeSite;java.awt.RenderingHints$Key.getIdentity;110;MethodHandle(Lookup,String,MethodType,String,Object[])CallSite;MethodHandle(String,String,String)String;info{@:}
CallSite.makeSite;java.awt.Toolkit$1.run;414;MethodHandle(Lookup,String,MethodType,String,Object[])CallSite;MethodHandle(String,String)String;info{.accessibility.properties}
CallSite.makeSite;java.awt.Toolkit$1.run;432;MethodHandle(Lookup,String,MethodType,String,Object[])CallSite;MethodHandle(String,String,String)String;info{confaccessibility.properties}
CallSite.makeSite;java.lang.Class.methodToString;;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(Class)String, (Class)String]}
CallSite.makeSite;java.lang.Module.implAddExportsOrOpens;956;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()BiFunction;info{[(Object,Object)Object, MethodHandle(Module,Module)Map, (Module,Module)Map]}
CallSite.makeSite;java.lang.System$LoggerFinder.accessProvider;1717;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()PrivilegedAction;info{[()Object, MethodHandle()LoggerFinder, ()LoggerFinder]}
CallSite.makeSite;java.lang.WeakPairMap.computeIfAbsent;157;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(BiFunction)Function;info{[(Object)Object, MethodHandle(BiFunction,Pair)Object, (Pair)Object]}
CallSite.makeSite;java.lang.invoke.VarHandleByteArrayAsInts$ArrayHandle.<clinit>;99;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(String)ArrayIndexOutOfBoundsException, (String)ArrayIndexOutOfBoundsException]}
CallSite.makeSite;java.lang.invoke.VarHandleByteArrayAsLongs$ArrayHandle.<clinit>;99;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(String)ArrayIndexOutOfBoundsException, (String)ArrayIndexOutOfBoundsException]}
CallSite.makeSite;java.nio.file.Files.walk;3923;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(Event)Path, (Event)Path]}
CallSite.makeSite;java.nio.file.Files.walk;3923;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(FileTreeIterator)Runnable;info{[()void, MethodHandle(FileTreeIterator)void, ()void]}
CallSite.makeSite;java.text.DecimalFormatSymbols.findNonFormatChar;842;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()IntPredicate;info{[(int)boolean, MethodHandle(int)boolean, (int)boolean]}
CallSite.makeSite;java.util.ResourceBundle$ResourceBundleProviderHelper.loadPropertyResourceBundle;3672;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(String,Module,Module)PrivilegedAction;info{[()Object, MethodHandle(String,Module,Module)InputStream, ()InputStream]}
CallSite.makeSite;java.util.ResourceBundle$ResourceBundleProviderHelper.loadResourceBundle;3612;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(Module,String)PrivilegedAction;info{[()Object, MethodHandle(Module,String)Class, ()Class]}
CallSite.makeSite;java.util.ResourceBundle$ResourceBundleProviderHelper.newResourceBundle;3583;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(Constructor)PrivilegedAction;info{[()Object, MethodHandle(Constructor)Void, ()Void]}
CallSite.makeSite;java.util.ResourceBundle.getLoader;584;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle(Module)PrivilegedAction;info{[()Object, MethodHandle(Module)ClassLoader, ()ClassLoader]}
CallSite.makeSite;java.util.function.Function.identity;98;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(Object)Object, (Object)Object]}
CallSite.makeSite;java.util.logging.Level$KnownLevel.add;635;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(String)List, (String)List]}
CallSite.makeSite;java.util.logging.Level$KnownLevel.add;637;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(Integer)List, (Integer)List]}
CallSite.makeSite;java.util.logging.Level$KnownLevel.findByName;655;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(Optional)Stream, (Optional)Stream]}
CallSite.makeSite;java.util.logging.Level.findLevel;382;MethodHandle(Lookup,String,MethodType,MethodType,MethodHandle,MethodType)CallSite;MethodHandle()Function;info{[(Object)Object, MethodHandle(KnownLevel)Optional, (KnownLevel)Optional]}
