ClassLoader.loadClass;Harness;java.lang.Class.forName0;;jdk.internal.loader.ClassLoaders$AppClassLoader;jdk.internal.loader.ClassLoaders$AppClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CALL;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CBI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLC;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLH;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLN;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLS;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLT;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLV;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$CLZ;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$COM;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
